ダウンロード実行日,2026年04月20日現在,件数,11242件
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
"E02104","内国法人・組合","非上場","無","10","12月31日","株式会社ディー・ディー・エス","DDS, Inc.","カブシキガイシャディーディーエス","新宿区西新宿六丁目１２番１号","情報・通信業","","7180001046613"
"E02105","内国法人・組合","上場","有","1190","3月31日","レシップホールディングス株式会社","LECIP HOLDINGS CORPORATION","レシップホールディングスカブシキガイシャ","本巣市上保１２６０番地の２","輸送用機器","72130","7200001010392"
"E02107","内国法人・組合","非上場","有","3095","3月31日","株式会社ポラテクノ","POLATECHNO CO.,LTD.","カブシキガイシャポラテクノ","上越市板倉区稲増字下川原１９２番地６","化学","","6110001019997"
"E02109","内国法人・組合","上場","有","90","3月31日","シライ電子工業株式会社","Shirai Electronics Indutrial Co.,Ltd","シライデンシコウギョウカブシキガイシャ","京都市南区久世東土川町３６４－１","電気機器","66580","1130001001041"
"E02112","内国法人・組合","非上場","無","484","3月31日","萩原エンジニアリング株式会社","HAGIWARA ENGINEERING CO.,LTD.","ハギワラエンジニアリングカブシキガイシャ","入間市大字狭山ケ原３２６番地","機械","","1030001027880"
"E02114","内国法人・組合","上場","有","4357","3月31日","株式会社ミマキエンジニアリング","MIMAKI ENGINEERING CO.,LTD.","カブシキガイシャミマキエンジニアリング","東御市滋野乙２１８２番地３","電気機器","66380","5100001010883"
"E02115","内国法人・組合（有価証券報告書等の提出義務者以外）","","","100","","ＦＣＭ株式会社","","エフシーエムカブシキガイシャ","大阪市東成区神路三丁目８番３６号","内国法人・組合（有価証券報告書等の提出義務者以外）","","1120001011859"
"E02116","内国法人・組合","上場","有","1174","12月31日","株式会社大日光・エンジニアリング","Di-Nikko Engineering Co.,Ltd.","カブシキカイシャダイニッコウエンジニアリング","日光市根室６９７－１","電気機器","66350","4060001008446"
"E02117","内国法人・組合（有価証券報告書等の提出義務者以外）","","","1119","","株式会社コンテック","","カブシキガイシャコンテック","大阪市西淀川区姫里三丁目９－３１","内国法人・組合（有価証券報告書等の提出義務者以外）","","9120001049586"
"E02118","内国法人・組合","非上場","無","3882","3月31日","株式会社ソルガム・ジャパン・ホールディングス","SORGHUM JAPAN HOLDINGS Corp.","カブシキガイシャソルガムジャパンホールディングス","品川区北品川五丁目９番１５号","電気機器","","9020001069900"
"E02119","内国法人・組合","非上場","有","6486","3月31日","株式会社ニューフレアテクノロジー","NuFlare Technology, Inc.","カブシキガイシャニューフレアテクノロジー","横浜市磯子区新杉田町８番１","機械","","5080101002461"
"E02120","内国法人・組合","上場","有","500","12月31日","株式会社ＣＧＳホールディングス","CGS HOLDINGS INC.","カブシキガイシャシージーエスホールディングス","北九州市八幡西区引野１－５－１５","電気機器","66330","4010701025183"
"E02121","内国法人・組合","上場","有","962","7月31日","株式会社山王","SANNO Co.,Ltd","カブシキガイシャサンノー","横浜市港北区綱島東五丁目８番８号","金属製品","34410","3020001020348"
"E02123","内国法人・組合","上場","有","8846","3月31日","株式会社三井Ｅ＆Ｓ","MITSUI E&S Co., Ltd.","カブシキガイシャミツイイーアンドエス","中央区築地五丁目６番４号","機械","70030","9010001034946"
"E02124","内国法人・組合","上場","有","45442","3月31日","カナデビア株式会社","Kanadevia Corporation","カナデビアカブシキガイシャ","大阪市住之江区南港北１丁目７番８９号","機械","70040","3120001031541"
"E02126","内国法人・組合","上場","有","265608","3月31日","三菱重工業株式会社","Mitsubishi Heavy Industries,Ltd.","ミツビシジュウコウギョウカブシキカイシャ","千代田区丸の内三丁目２番３号","機械","70110","8010401050387"
"E02127","内国法人・組合","上場","有","104484","3月31日","川崎重工業株式会社","Kawasaki Heavy Industries,Ltd.","カワサキジュウコウギョウカブシキガイシャ","神戸市中央区東川崎町３丁目１番１号","輸送用機器","70120","1140001005719"
"E02128","内国法人・組合","上場","有","107165","3月31日","株式会社ＩＨＩ","IHI Corporation","カブシキガイシャアイエイチアイ","江東区豊洲三丁目１番１号","機械","70130","4010601031604"
"E02129","内国法人・組合","上場","有","8135","3月31日","株式会社名村造船所","Namura Shipbuilding Co.,Ltd.","カブシキガイシャナムラゾウセンショ","大阪市西区立売堀二丁目１番９号","輸送用機器","70140","5120001046100"
"E02131","内国法人・組合","上場","有","1200","3月31日","内海造船株式会社","Naikai  Zosen  Corporation","ナイカイ　ゾウセン　カブシキガイシャ","尾道市瀬戸田町沢２２６番地の６","輸送用機器","70180","9240001038924"
"E02134","内国法人・組合","上場","有","11810","3月31日","日本車輌製造株式会社","NIPPON SHARYO, LTD.","ニッポンシャリョウセイゾウカブシキガイシャ","名古屋市熱田区三本松町１番１号","輸送用機器","71020","4180001022575"
"E02136","内国法人・組合","上場","有","5051","3月31日","三菱ロジスネクスト株式会社","Mitsubishi Logisnext Co., Ltd.","ミツビシロジスネクストカブシキガイシャ","長岡京市東神足二丁目１番１号","輸送用機器","71050","3130001030352"
"E02138","内国法人・組合","上場","有","5252","3月31日","近畿車輛株式会社","THE KINKI SHARYO CO.,LTD.","キンキシャリョウカブシキガイシャ","東大阪市稲田上町２丁目２番４６号","輸送用機器","71220","5122001001729"
"E02140","内国法人・組合","上場","有","14270","3月31日","株式会社小糸製作所","KOITO MANUFACTURING CO.,LTD.","カブシキガイシャコイトセイサクショ","品川区北品川五丁目１番１８号住友不動産大崎ツインビル東館","電気機器","72760","1010401009745"
"E02142","内国法人・組合","上場","有","605813","3月31日","日産自動車株式会社","NISSAN MOTOR CO., LTD.","ニッサンジドウシャカブシキガイシャ","横浜市神奈川区宝町２番地","輸送用機器","72010","9020001031109"
"E02143","内国法人・組合","上場","有","40644","3月31日","いすゞ自動車株式会社","ISUZU MOTORS LIMITED","イスズジドウシャカブシキガイシャ","横浜市西区高島１丁目２番５号","輸送用機器","72020","5010701000904"
"E02144","内国法人・組合","上場","有","635401","3月31日","トヨタ自動車株式会社","TOYOTA MOTOR CORPORATION","トヨタジドウシャカブシキカイシャ","豊田市トヨタ町１番地","輸送用機器","72030","1180301018771"
"E02146","内国法人・組合","上場","有","72717","3月31日","日野自動車株式会社","HINO MORTORS,LTD.","ヒノジドウシャカブシキガイシャ","日野市日野台３丁目１番地１","輸送用機器","72050","8013401000626"
"E02147","内国法人・組合","上場","有","27647","3月31日","カヤバ株式会社","KYB Corporation","カヤバカブシキガイシャ","港区浜松町二丁目４番１号","輸送用機器","72420","8010401007296"
"E02150","内国法人・組合","上場","有","7904","3月31日","日産車体株式会社","NISSAN SHATAI CO.,LTD.","ニッサンシャタイカブシキカイシャ","平塚市堤町２番１号","輸送用機器","72220","3021001037076"
"E02152","内国法人・組合","上場","有","153795","3月31日","株式会社ＳＵＢＡＲＵ","SUBARU CORPORATION","カブシキガイシャスバル","渋谷区恵比寿一丁目２０番８号","輸送用機器","72700","5011101019196"
"E02154","内国法人・組合","上場","有","8070","3月31日","プレス工業株式会社","PRESS KOGYO CO.,LTD.","プレスコウギョウカブシキガイシャ","川崎市川崎区塩浜１丁目１番１号","輸送用機器","72460","5020001074318"
"E02155","内国法人・組合","上場","有","7245","3月31日","株式会社ティラド","T.RAD Co.,Ltd.","カブシキガイシャティラド","渋谷区代々木３丁目２５番３号","輸送用機器","72360","3011001015719"
"E02157","内国法人・組合（有価証券報告書等の提出義務者以外）","","","400","","マレリ株式会社","","マレリカブシキガイシャ","さいたま市北区日進町２－１９１７","内国法人・組合（有価証券報告書等の提出義務者以外）","","8030001014831"
"E02158","内国法人・組合","上場","有","1317","3月31日","東京ラヂエーター製造株式会社","TOKYO RADIATOR MFG. CO., LTD.","トウキョウラヂエーターセイゾウカブシキガイシャ","藤沢市遠藤２００２番地１","輸送用機器","72350","6021001002556"
"E02161","内国法人・組合","上場","有","19939","3月31日","曙ブレーキ工業株式会社","AKEBONO BRAKE INDUSTRY CO.,LTD.","アケボノブレーキコウギョウカブシキガイシャ","中央区日本橋室町１丁目１３番７号　ＰＭＯ日本橋室町５Ｆ","輸送用機器","72380","8010001034724"
"E02162","内国法人・組合","上場","有","10870","3月31日","愛三工業株式会社","AISAN INDUSTRY CO., LTD","アイサンコウギョウカブシキガイシャ","大府市共和町一丁目１番地の１","輸送用機器","72830","1180001092357"
"E02163","内国法人・組合","上場","有","283957","3月31日","マツダ株式会社","Mazda Motor Corporation","マツダカブシキガイシャ","安芸郡府中町新地３番１号","輸送用機器","72610","3240001036223"
"E02164","内国法人・組合（有価証券報告書等の提出義務者以外）","","","28404","","ダイハツ工業株式会社","","ダイハツコウギョウカブシキガイシャ","池田市ダイハツ町１番１号","内国法人・組合（有価証券報告書等の提出義務者以外）","","3120901019710"
"E02166","内国法人・組合","上場","有","86067","3月31日","本田技研工業株式会社","HONDA MOTOR CO., LTD.","ホンダギケンコウギョウカブシキガイシャ","港区南青山二丁目１番１号","輸送用機器","72670","6010401027577"
"E02167","内国法人・組合","上場","有","138370","3月31日","スズキ株式会社","suzuki motor corporation","スズキカブシキガイシャ","浜松市中央区高塚町３００番地","輸送用機器","72690","8080401002431"
"E02168","内国法人・組合","上場","有","85905","12月31日","ヤマハ発動機株式会社","Yamaha Motor Co., Ltd.","ヤマハハツドウキカブシキガイシャ","磐田市新貝２５００番地","輸送用機器","72720","2080401016040"
"E02169","内国法人・組合","非上場","有","500","3月31日","トーハツ株式会社","TOHATSU CORPORATION","トーハツカブシキガイシャ","板橋区小豆沢三丁目５番４号","輸送用機器","","2011401004553"
"E02170","内国法人・組合","上場","有","11899","3月31日","極東開発工業株式会社","KYOKUTO KAIHATSU KOGYO CO.,LTD.","キョクトウカイハツコウギョウカブシキガイシャ","大阪市中央区淡路町２丁目５番１１号","輸送用機器","72260","7140001068512"
"E02171","内国法人・組合","上場","有","500","3月31日","株式会社ニッキ","nikki co.,ltd","カブシキガイシャ　ニッキ","厚木市上依知３０２９番地","輸送用機器","60420","2021001020256"
"E02172","内国法人・組合","上場","有","2215","3月31日","株式会社ミクニ","MIKUNI CORPORATION","カブシキガイシャミクニ","千代田区外神田六丁目１３番１１号","輸送用機器","72470","1010001008791"
"E02173","内国法人・組合","上場","無","1388","3月31日","日本ギア工業株式会社","NIPPON GEAR CO.,LTD.","ニホンギアコウギョウカブシキガイシャ","港区西新橋１－７－１４","機械","63560","3021001001619"
"E02174","内国法人・組合","上場","有","5821","3月31日","河西工業株式会社","KASAI KOGYO CO .,LTD.","カサイコウギョウカブシキガイシャ","高座郡寒川町宮山３３１６番地","輸送用機器","72560","5021001006269"
"E02175","内国法人・組合","上場","有","8413","3月31日","大同メタル工業株式会社","DAIDO METAL CO., LTD.","ダイドウメタルコウギョウカブシキガイシャ","名古屋市中区栄二丁目３番１号名古屋広小路ビルヂング１３階","輸送用機器","72450","1180001012595"
"E02176","内国法人・組合","上場","有","23335","3月31日","ＮＯＫ株式会社","NOK CORPORATION","エヌオーケーカブシキガイシャ","港区芝大門１丁目１２番１５号","輸送用機器","72400","1010401004837"
"E02177","内国法人・組合","上場","有","8955","12月31日","市光工業株式会社","ICHIKOH INDUSTRIES, LTD.","イチコウコウギョウカブシキガイシャ","伊勢原市板戸８０番地","電気機器","72440","9021001035727"
"E02178","内国法人・組合","非上場","有","7316","3月31日","太平洋工業株式会社","PACIFIC INDUSTRIAL CO.,LTD.","タイヘイヨウコウギョウカブシキガイシャ","大垣市久徳町１００番地","輸送用機器","","7200001013874"
"E02180","内国法人・組合","上場","有","600","3月31日","株式会社　ヤマダコーポレーション","YAMADA CORPORATION","カブシキガイシャ　ヤマダコーポレーション","大田区南馬込１丁目１番３号","機械","63920","9010801012135"
"E02181","内国法人・組合","非上場","有","14546","3月31日","株式会社ユーシン","U-Shin Ltd.","カブシキガイシャ　ユーシン","港区芝大門１丁目１番３０号","電気機器","","1010401030214"
"E02183","内国法人・組合","上場","有","3500","3月31日","株式会社ユニバンス","UNIVANCE CORPORATION","カブシキガイシャユニバンス","湖西市鷲津２４１８","輸送用機器","72540","2080401006066"
"E02184","内国法人・組合","非上場","有","12698","3月31日","株式会社ショーワ","SHOWA CORPORATION","カブシキガイシャ　ショーワ","行田市藤原町一丁目１４番地１","輸送用機器","","8030001086904"
"E02185","内国法人・組合","上場","有","2143","3月31日","株式会社メタルアート","METALART CORPORATION","カブシキガイシャメタルアート","草津市野路三丁目２番１８号","鉄鋼","56440","9160001013183"
"E02189","内国法人・組合","上場","有","4530","3月31日","株式会社ＮＩＴＴＡＮ","NITTAN Corporation","カブシキガイシャニッタン","秦野市曽屋５１８番地","輸送用機器","64930","3021001022920"
"E02190","内国法人・組合（有価証券報告書等の提出義務者以外）","","","5985","","富士機工株式会社","","フジキコウカブシキガイシャ","湖西市鷲津２０２８番地","内国法人・組合（有価証券報告書等の提出義務者以外）","","5080401006071"
"E02194","内国法人・組合","上場","有","10168","3月31日","ユニプレス株式会社","UNIPRES CORPORATION","ユニプレス　カブシキカイシャ","横浜市港北区新横浜一丁目１９番２０号","輸送用機器","59490","7020001045218"
"E02195","内国法人・組合","上場","有","16820","3月31日","フタバ産業株式会社","FUTABA INDUSTRIAL CO., LTD.","フタバサンギョウカブシキガイシャ","岡崎市橋目町字御茶屋１番地","輸送用機器","72410","3180301001916"
"E02196","内国法人・組合","非上場","有","6932","3月31日","株式会社　ケーヒン","KEIHIN CORPORATION","カブシキガイシャ　ケーヒン","新宿区西新宿一丁目２６番２号","輸送用機器","","8011101023179"
"E02199","内国法人・組合","上場","有","6712","3月31日","大豊工業株式会社","TAIHO KOGYO CO.,LTD.","タイホウコウギョウカブシキガイシャ","豊田市緑ヶ丘３－６５","機械","64700","7180301018584"
"E02200","内国法人・組合（有価証券報告書等の提出義務者以外）","","","7460","","アイシンシロキ株式会社","","アイシンシロキカブシキガイシャ","藤沢市桐原町２番地","内国法人・組合（有価証券報告書等の提出義務者以外）","","2021001001140"
"E02201","内国法人・組合","上場","有","4617","3月31日","株式会社ＴＢＫ","TBK Co.,Ltd.","カブシキガイシャティービーケイ","町田市南成瀬４－２１－１","輸送用機器","72770","5012301001794"
"E02203","内国法人・組合","上場","有","8284","3月31日","株式会社エクセディ","EXEDY Corporation","カブシキガイシャエクセディ","寝屋川市木田元宮１丁目１番１号","輸送用機器","72780","1120001147463"
"E02204","内国法人・組合","上場","有","5657","10月31日","株式会社ハイレックスコーポレーション","HI-LEX CORPORATION","カブシキガイシャハイレックスコーポレーション","宝塚市栄町一丁目１２番２８号","輸送用機器","72790","1140001081875"
"E02205","内国法人・組合","上場","有","5000","3月31日","株式会社ミツバ","MITSUBA Corporation","カブシキガイシャミツバ","桐生市広沢町一丁目２６８１番地","電気機器","72800","1070001016632"
"E02207","内国法人・組合","非上場","有","693","3月31日","キーパー株式会社","KEEPER. CO., LTD.","キーパーカブシキガイシャ","藤沢市辻堂神台２丁目４番３６号","輸送用機器","","8021001004625"
"E02210","内国法人・組合","上場","有","9040","3月31日","株式会社タチエス","TACHI-S CO.,LTD.","カブシキガイシャタチエス","青梅市末広町一丁目３番１号","輸送用機器","72390","6012801002309"
"E02213","内国法人・組合","上場","有","284382","3月31日","三菱自動車工業株式会社","MITSUBISHI MOTORS CORPORATION","ミツビシジドウシャコウギョウカブシキガイシャ","港区芝浦三丁目１番２１号","輸送用機器","72110","7010401029044"
"E02214","内国法人・組合","上場","有","14494","3月31日","日本精機株式会社","NIPPON SEIKI CO.,LTD.","ニッポンセイキカブシキガイシャ","長岡市東蔵王２丁目２番３４号","輸送用機器","72870","3110001023135"
"E02216","内国法人・組合","上場","有","3206","3月31日","日本プラスト株式会社","NIHON PLAST CO.,LTD.","ニホンプラストカブシキガイシャ","富士宮市山宮３５０７番地１５","輸送用機器","72910","2080101012372"
"E02217","内国法人・組合","上場","有","3165","3月31日","株式会社村上開明堂","MURAKAMI CORPORATION","カブシキガイシャムラカミカイメイドウ","静岡市葵区伝馬町１１番地５","輸送用機器","72920","3080001005194"
"E02219","内国法人・組合","上場","有","6200","3月31日","株式会社ヨロズ","YOROZU CORPORATION","カブシキガイシャヨロズ","横浜市港北区樽町３丁目７番６０号","輸送用機器","72940","7020001030517"
"E02221","内国法人・組合","上場","有","4175","3月31日","株式会社エフ・シー・シー","F.C.C.CO.,LTD.","カブシキガイシャエフシーシー","浜松市浜名区細江町中川７０００番地の３６","輸送用機器","72960","5080401010065"
"E02222","内国法人・組合","上場","有","4366","3月31日","株式会社エイチワン","H-ONE CO.,LTD.","カブシキガイシャエイチワン","さいたま市大宮区桜木町１－１９５－１　大宮ソラミチＫＯＺ　１１階","金属製品","59890","3030001011684"
"E02223","内国法人・組合","上場","有","1637","3月31日","株式会社カーメイト","CAR MATE MFG.CO.,LTD","カブシキガイシャカーメイト","豊島区長崎５－３３－１１","輸送用機器","72970","3013301021082"
"E02224","内国法人・組合","非上場","有","3685","3月31日","八千代工業株式会社","YACHIYO INDUSTRY CO., LTD.","ヤチヨコウギョウカブシキガイシャ","狭山市柏原３９３番地","輸送用機器","","2030001026675"
"E02225","内国法人・組合","上場","有","3018","3月31日","フジオーゼックス株式会社","FUJI OOZX Inc.","フジオーゼックスカブシキカイシャ","菊川市三沢１５００番地の６０","輸送用機器","72990","4080401014950"
"E02226","内国法人・組合","上場","無","2298","3月31日","株式会社イクヨ","IKUYO CO.,LTD.","カブシキガイシャイクヨ","厚木市上依知３０１９番地","輸送用機器","72730","9021001023731"
"E02227","内国法人・組合","上場","有","2142","3月31日","株式会社安永","YASUNAGA CORPORATION","カブシキガイシャヤスナガ","伊賀市緑ヶ丘中町３８６０番地","輸送用機器","72710","1190001008733"
"E02228","内国法人・組合","上場","有","4656","3月31日","株式会社ジーテクト","G-TEKT CORPORATION","カブシキガイシャジーテクト","さいたま市大宮区桜木町一丁目１１番地２０","金属製品","59700","9030001023377"
"E02229","内国法人・組合","上場","有","6790","3月31日","株式会社エフテック","F-TECH INC.","カブシキガイシャエフテック","久喜市菖蒲町昭和沼１９番地","輸送用機器","72120","6030001031085"
"E02230","内国法人・組合","非上場","無","715","3月31日","株式会社タツミ","TATSUMI Corporation","カブシキカイシャタツミ","足利市南大町４４３","輸送用機器","","7060001018855"
"E02231","内国法人・組合","上場","有","7289","3月31日","株式会社今仙電機製作所","Imasen Electric Industrial Co.,Ltd.","カブシキガイシャイマセンデンキセイサクショ","犬山市字柿畑一番地","輸送用機器","72660","1180001080700"
"E02232","内国法人・組合","上場","無","601","10月31日","エイケン工業株式会社","EIKEN INDUSTRIES CO.,LTD","エイケンコウギョウカブシキガイシャ","御前崎市門屋１３７０","輸送用機器","72650","7080401014989"
"E02233","内国法人・組合","上場","有","903","11月30日","アスカ株式会社","ASKA CORPORATION","アスカカブシキガイシャ","刈谷市新富町二丁目４１番地２","輸送用機器","72270","1180301013673"
"E02234","内国法人・組合","上場","有","1095","3月31日","株式会社ムロコーポレーション","MURO CORPORATION","カブシキガイシャムロコーポレーション","宇都宮市清原工業団地７ー１","輸送用機器","72640","7010901011914"
"E02235","内国法人・組合","非上場","有","3694","3月31日","日信工業株式会社","NISSIN KOGYO CO.,LTD.","ニッシンコウギョウカブシキガイシャ","東御市加沢８０１番地","輸送用機器","","2100001010135"
"E02236","内国法人・組合","上場","有","1754","3月31日","株式会社ユタカ技研","YUTAKA GIKEN CO.,LTD.","カブシキガイシャユタカギケン","浜松市東区豊町５０８番地の１","輸送用機器","72290","8080401005665"
"E02237","内国法人・組合","上場","有","5427","3月31日","武蔵精密工業株式会社","MUSASHI SEIMITSU INDUSTRY CO.,LTD.","ムサシセイミツコウギョウカブシキガイシャ","豊橋市植田町字大膳３９番地の５","輸送用機器","72200","6180301007357"
"E02238","内国法人・組合","上場","有","878","8月31日","株式会社エッチ・ケー・エス","HKS CO.,LTD.","カブシキガイシャ　エッチ　ケー　エス","富士宮市上井出２２６６番地","輸送用機器","72190","7080101011279"
"E02241","内国法人・組合","上場","有","500","3月31日","田中精密工業株式会社","TANAKA SEIMITSU KOGYO CO.,LTD.","タナカセイミツコウギョウカブシキガイシャ","富山市婦中町島田３２８番地","輸送用機器","72180","6230001001654"
"E02242","内国法人・組合","上場","有","217","3月31日","株式会社テイン","TEIN,INC.","カブシキガイシャテイン","横浜市戸塚区上矢部町３５１５－４","輸送用機器","72170","1020001033780"
"E02244","内国法人・組合","非上場","有","2000","3月31日","株式会社山田製作所","YAMADA MANUFACTURING CO., LTD.","カブシキガイシャ　ヤマダセイサクショ","桐生市広沢町１－２７５７","輸送用機器","","9070001016708"
"E02245","内国法人・組合","上場","有","2760","3月31日","株式会社アルファ","ALPHA Corporation","カブシキガイシャアルファ","横浜市金沢区福浦一丁目６番８号","金属製品","34340","1020001005862"
"E02246","内国法人・組合","上場","有","2291","3月31日","株式会社ファルテック","FALTEC Co.,Ltd.","カブシキガイシャファルテック","川崎市幸区堀川町５８０番地","輸送用機器","72150","2020001077174"
"E02247","内国法人・組合","上場","有","863","3月31日","ＧＭＢ株式会社","GMB CORPORATION","ジーエムビーカブシキガイシャ","磯城郡川西町大字吐田１５０番地３","輸送用機器","72140","2150001011467"
"E02248","内国法人・組合","上場","有","556","3月31日","株式会社カネミツ","KANEMITSU CORPORATION","カブシキガイシャカネミツ","明石市大蔵本町２０番２６号","輸送用機器","72080","8140001034728"
"E02249","内国法人・組合","非上場","有","41862","3月31日","タカタ株式会社","Takata Corporation","タカタカブシキガイシャ","港区赤坂二丁目１２番３１号","輸送用機器","","5010401052766"
"E02251","内国法人・組合（有価証券報告書等の提出義務者以外）","","","100","","昭和飛行機工業株式会社","","ショウワヒコウキコウギョウカブシキカイシャ","昭島市代官山三丁目１番１号","内国法人・組合（有価証券報告書等の提出義務者以外）","","8012801007000"
"E02252","内国法人・組合","上場","有","15981","3月31日","新明和工業株式会社","ShinMaywa Industries, Ltd.","シンメイワコウギョウカブシキガイシャ","宝塚市新明和町１番１号","輸送用機器","72240","7140001082323"
"E02254","内国法人・組合","非上場","有","5359","3月31日","株式会社ジャムコ","JAMCO CORPORATION","カブシキガイシャジャムコ","三鷹市大沢六丁目１１番２５号","輸送用機器","","6012401012609"
"E02255","内国法人・組合（有価証券報告書等の提出義務者以外）","","","10311","","住友精密工業株式会社","","スミトモセイミツコウギョウカブシキガイシャ","尼崎市扶桑町１番１０号","内国法人・組合（有価証券報告書等の提出義務者以外）","","4140001049416"
"E02257","内国法人・組合","上場","有","35613","12月31日","株式会社シマノ","SHIMANO INC.","カブシキガイシャシマノ","堺市堺区老松町３丁７７番地","輸送用機器","73090","3120101003399"
"E02258","内国法人・組合","上場","有","3940","3月31日","新家工業株式会社","ARAYA INDUSTRIAL CO.,LTD.","アラヤコウギョウカブシキガイシャ","大阪市中央区南船場二丁目１２番１２号","鉄鋼","73050","4120001077344"
"E02261","内国法人・組合","非上場","無","400","6月30日","株式会社ツノダ","TSUNODA CO.,LTD.","カブシキガイシャツノダ","小牧市大字三ツ渕字東播州１６０４番地１","不動産業","","4180001076159"
"E02265","内国法人・組合","上場","有","26648","3月31日","株式会社　島津製作所","Shimadzu Corporation","カブシキガイシャ　シマヅセイサクショ","京都市中京区西ノ京桑原町１","精密機器","77010","6130001021068"
"E02266","内国法人・組合","上場","有","7218","3月31日","東京計器株式会社","TOKYO KEIKI INC.","トウキョウケイキ　カブシキガイシャ","大田区南蒲田２丁目１６番４６号","精密機器","77210","3010801008436"
"E02267","内国法人・組合","上場","有","3218","3月31日","愛知時計電機株式会社","","アイチトケイデンキカブシキガイシャ","名古屋市熱田区千年一丁目２番７０号","精密機器","77230","3180001021396"
"E02269","内国法人・組合","上場","有","1930","3月31日","黒田精工株式会社","KURODA PRECISION INDUSTRIES LTD.","クロダセイコウカブシキガイシャ","川崎市幸区堀川町５８０番地１６","機械","77260","7020001070810"
"E02270","内国法人・組合","上場","有","2200","3月31日","株式会社オーバル","OVAL Corporation","カブシキガイシャオーバル","新宿区上落合三丁目１０番８号","精密機器","77270","4011101003936"
"E02271","内国法人・組合","上場","有","65476","3月31日","株式会社ニコン","NIKON CORPORATION","カブシキガイシャニコン","品川区西大井一丁目５番２０号","精密機器","77310","5010001008763"
"E02272","内国法人・組合","上場","有","124643","3月31日","オリンパス株式会社","OLYMPUS CORPORATION","オリンパスカブシキガイシャ","八王子市石川町２９５１番地","精密機器","77330","5011001005222"
"E02274","内国法人・組合","上場","有","174762","12月31日","キヤノン株式会社","CANON INC.","キヤノンカブシキガイシャ","大田区下丸子三丁目３０番２号","電気機器","77510","6010801003186"
"E02275","内国法人・組合","上場","有","135364","3月31日","株式会社リコー","RICOH COMPANY,LTD.","カブシキガイシャリコー","大田区中馬込一丁目３番６号","電気機器","77520","2010801012579"
"E02280","内国法人・組合","上場","有","10000","3月31日","セイコーグループ株式会社","SEIKO GROUP CORPORATION","セイコーグループカブシキガイシャ","中央区銀座４丁目５番１１号","精密機器","80500","9010001034797"
"E02281","内国法人・組合","上場","有","32648","3月31日","シチズン時計株式会社","Citizen Watch Co., Ltd.","シチズントケイカブシキガイシャ","西東京市田無町六丁目１番１２号","精密機器","77620","5012701004744"
"E02282","内国法人・組合","非上場","有","1563","3月31日","ジェコー株式会社","JECO CO.,LTD.","ジェコーカブシキガイシャ","行田市富士見町１丁目４番地１","精密機器","","6030001086906"
"E02285","内国法人・組合","上場","有","2565","3月31日","理研計器株式会社","RIKEN KEIKI CO.,LTD","リケンケイキカブシキガイシャ","板橋区小豆沢２丁目７番６号","精密機器","77340","3011401006846"
"E02286","内国法人・組合","上場","有","4292","3月31日","株式会社チノー","Chino Corporation","カブシキガイシャチノー","板橋区熊野町３２番８号","電気機器","68500","9011401004118"
"E02287","内国法人・組合","非上場","有","1609","3月31日","株式会社セコニック","SEKONIC CORPORATION","カブシキガイシャセコニック","世田谷区池尻三丁目１番３号","機械","","8011601003630"
"E02288","内国法人・組合","上場","有","54044","3月31日","株式会社ＳＣＲＥＥＮホールディングス","SCREEN Holdings Co., Ltd.","カブシキガイシャスクリーンホールディングス","京都市上京区堀川通寺之内上る４丁目天神北町１番地の１","電気機器","77350","6130001003272"
"E02289","内国法人・組合","上場","有","11573","3月31日","株式会社東京精密","TOKYO SEIMITSU CO., LTD.","カブシキガイシャトウキョウセイミツ","八王子市石川町２９６８番地２","精密機器","77290","5010101009430"
"E02290","内国法人・組合","非上場","有","497","3月31日","大和製衡株式会社","Yamato Scale Co.,Ltd.","ヤマトセイコウカブシキガイシャ","明石市茶園場町５番２２号","精密機器","","7140001035636"
"E02293","内国法人・組合","上場","有","16403","1月31日","株式会社三井ハイテック","Mitsui High-tec, Inc.","カブシキガイシャミツイハイテック","北九州市八幡西区小嶺二丁目１０番１号","電気機器","69660","6290801010667"
"E02294","内国法人・組合","上場","有","12372","3月31日","リズム株式会社","RHYTHM CO.,LTD.","リズムカブシキガイシャ","さいたま市大宮区北袋町一丁目２９９番地１２","精密機器","77690","9030001010524"
"E02296","内国法人・組合","上場","有","3522","12月31日","日東精工株式会社","NITTO SEIKO CO.,LTD.","ニットウセイコウカブシキガイシャ","綾部市井倉町梅ヶ畑２０番地","金属製品","59570","2130001041813"
"E02299","内国法人・組合","非上場","有","16984","3月31日","株式会社　トプコン","TOPCON CORPORATION","カブシキガイシャトプコン","板橋区蓮沼町７５番１号","精密機器","","4011401004725"
"E02300","内国法人・組合","非上場","有","391","12月31日","株式会社　ミツトヨ","Mitutoyo Corporation","カブシキガイシャ　ミツトヨ","川崎市高津区坂戸一丁目２０番１号","精密機器","","7020001067105"
"E02301","内国法人・組合","上場","有","4969","12月31日","キヤノン電子株式会社","CANON ELECTRONICS INC.","キヤノンデンシカブシキガイシャ","秩父市下影森１２４８番地","電気機器","77390","7030001090700"
